sym,hour,exec_vol,hidden,n_ep,n_iceberg,hidden_ask,hidden_bid,hidden_fraction,iceberg_rate,signed_hidden,ret,rv,trade_count,ofi_norm,spread,rv_next,ret_next,hour_next,contig
SOLUSDT,477320,54274.17,244.00100000000035,1807,59,83.08300000000024,160.91800000000012,0.0044957113116607834,0.0326508024349751,-0.0014341076058832383,0.005404688200081331,0.005616926694617204,16681,0.03176203569021725,6.757626062313271e-05,0.004402801904684705,-0.004253458122572162,477321.0,True
SOLUSDT,477321,38379.345,29.37699999999994,1299,31,24.34799999999993,5.029000000000008,0.0007654377634636531,0.02386451116243264,0.000503369716184576,-0.004253458122572162,0.004402801904684705,12008,-0.13166902765232683,6.756668038197791e-05,0.0043692472496711255,6.765670987984862e-05,477322.0,True
SOLUSDT,477322,38872.906,25.31999999999993,1363,34,10.281000000000057,15.038999999999874,0.0006513534130944553,0.024944974321349962,-0.00012239887596774513,6.765670987984862e-05,0.0043692472496711255,12471,0.05421708350388647,6.763951486531016e-05,0.004386038594643368,0.00094671362223675,477323.0,True
SOLUSDT,477323,31065.292,338.4379999999999,1250,35,300.5909999999999,37.84699999999997,0.0108944091045402,0.028,0.008457799141240967,0.00094671362223675,0.004386038594643368,10217,-0.09560410889617249,6.76641491772478e-05,0.0022826779333644247,-0.0008090615328057993,477324.0,True
SOLUSDT,477324,13753.448999999999,27.24400000000005,412,10,19.046000000000042,8.198000000000011,0.0019808849402066387,0.024271844660194174,0.0007887476079636484,-0.0008090615328057993,0.0022826779333644247,4490,0.3126003033099214,6.749406545124326e-05,0.006008627009537392,-0.00283688133519977,477325.0,True
SOLUSDT,477325,43334.944,140.78600000000003,1854,55,108.012,32.77400000000002,0.0032487869373962965,0.0296655879180151,0.0017361970053543848,-0.00283688133519977,0.006008627009537392,13042,0.12370329842901484,6.753527978537069e-05,0.01566146045040426,-0.01898445434558571,477326.0,True
SOLUSDT,477326,199395.19600000003,3258.5419999999986,6019,204,933.1139999999999,2325.4279999999985,0.016342128924710896,0.03389267320152849,-0.006982685781456833,-0.01898445434558571,0.01566146045040426,58538,-0.16223397484322205,6.868765484178667e-05,0.01127780601143069,-0.008725212890869471,477327.0,True
SOLUSDT,477327,118513.986,1284.936,5230,166,460.887,824.049,0.01084206213433746,0.03173996175908222,-0.003064296563276506,-0.008725212890869471,0.01127780601143069,45953,-0.05713684788649365,6.940168053228566e-05,0.01677397403421581,-0.01506633032942073,477328.0,True
SOLUSDT,477328,288700.499,8669.459,9156,392,3572.4760000000006,5096.983,0.0300292484080535,0.04281345565749235,-0.00528058318319706,-0.01506633032942073,0.01677397403421581,83949,-0.09123318454324568,7.521538653859477e-05,0.010812521139800163,-7.06189753483244e-05,477329.0,True
SOLUSDT,477329,154175.046,3438.999,4035,134,1611.7340000000002,1827.2649999999996,0.022305808165609366,0.0332094175960347,-0.001397962936232881,-7.06189753483244e-05,0.010812521139800163,44930,0.03110539587567068,7.074059370805409e-05,0.011544329464865841,-0.0010598835120427808,477330.0,True
SOLUSDT,477330,138616.84900000005,1763.7450000000567,4770,165,796.7150000000001,967.0300000000566,0.012723886112863928,0.03459119496855346,-0.00122867458919122,-0.0010598835120427808,0.011544329464865841,40346,-0.07954879628379728,7.111185225933257e-05,0.00801623776809913,0.002542015208693904,477331.0,True
SOLUSDT,477331,56413.137,619.6989999999998,2446,60,258.34700000000004,361.35199999999986,0.010985012232168544,0.024529844644317254,-0.001825904487460072,0.002542015208693904,0.00801623776809913,19588,0.21239138626913917,7.077543160939136e-05,0.005634493497337131,-0.00028212724125609157,477332.0,True
SOLUSDT,477332,53123.529,284.84800000000007,1772,46,84.84500000000011,200.003,0.005361993176319292,0.025959367945823927,-0.0021677400234461058,-0.00028212724125609157,0.005634493497337131,14865,0.1027287306564901,7.038588535059213e-05,0.012394220387112988,0.01554000193040217,477333.0,True
SOLUSDT,477333,82492.57,1556.762,2895,127,539.2470000000001,1017.5149999999998,0.01887154200675285,0.04386873920552677,-0.005797710024066405,0.01554000193040217,0.012394220387112988,27017,0.02980155902001703,7.002526078897617e-05,0.010638277233264801,-0.004525052101510774,477334.0,True
SOLUSDT,477334,66076.401,1013.344,3384,108,211.27000000000004,802.074,0.015335944220085475,0.031914893617021274,-0.008941225476248319,-0.004525052101510774,0.010638277233264801,23577,-0.052762110706879646,7.031807786024779e-05,0.005484101809549464,-0.0018158965738601651,477335.0,True
SOLUSDT,477335,44670.906,241.744,1886,53,32.54199999999999,209.20200000000003,0.0054116654808836874,0.028101802757158005,-0.003954699284585811,-0.0018158965738601651,0.005484101809549464,15819,-0.061603388010771434,6.994795409379549e-05,0.012980485315256935,0.01792054400872356,478056.0,False
SOLUSDT,478056,118225.24100000005,1455.9240000000536,3623,128,460.51700000005343,995.4070000000002,0.012314832160080376,0.03532983715153188,-0.004524329960976323,0.01792054400872356,0.012980485315256935,69878,0.1957910779910031,6.746324093725474e-05,0.008644746744075966,0.0037844881340607373,478057.0,True
