split,pair,tr_kappa,tr_halflife,tr_vr,tr_excess,tr_nev,oos_excess,oos_kappa,oos_nev,oos_floor,oos_obs
6,USDCUSDT_SHIBUSDT,0.4753967240060186,1.4580394553816276,0.06912026554274818,1.6683322176227389,42,1.4333014101854087,0.4161541313287864,21,0.943751230444098,2.3770526406295067
6,USDCUSDT_LTCUSDT,0.47283457224103975,1.4659401432401933,0.06891684740703607,1.6722436633628441,42,1.3522963562080175,0.4163341964740739,21,1.0333188063306278,2.3856151625386453
6,USDCUSDT_ATOMUSDT,0.480427716132769,1.4427710085909988,0.06938056737914552,1.691163515692856,43,1.4206716144589642,0.42292185732275744,21,0.9482082216845242,2.3688798361434884
6,USDCUSDT_DOTUSDT,0.4792571861697452,1.4462948090557033,0.0692291498641078,1.6471318663758758,42,1.4229846866020117,0.41017679857197664,21,0.9504645539123974,2.373449240514409
6,USDCUSDT_XLMUSDT,0.47550750842192024,1.4576997592746994,0.069098567440701,1.6534083577838934,42,1.3955301394137978,0.4175407090835969,21,0.9826888549281207,2.3782189943419185
6,USDCUSDT_HBARUSDT,0.4851845278823334,1.4286258953584086,0.06932127399641863,1.734116547422103,42,1.4109574424422981,0.4207078365426876,21,0.9291191959474739,2.340076638389772
6,USDCUSDT_ONEUSDT,0.47574393019355915,1.456975352849871,0.06912559942431588,1.7179102664818615,42,1.3014903483730602,0.41987658614649087,21,1.0807725087412046,2.3822628571142648
6,USDCUSDT_VTHOUSDT,0.47383654693983,1.4628402664093454,0.06911795809884529,1.6036035347967936,42,1.443117058610569,0.41881189509446265,21,0.9407149861848663,2.3838320447954353
6,USDCUSDT_BCHUSDT,0.5421017638041885,1.27862926638681,0.06791557339182872,1.8335167476506138,41,1.4225600088237227,0.4136939911196402,21,0.9801107510348037,2.4026707598585264
6,USDCUSDT_ALGOUSDT,0.4779752153854371,1.4501738965711737,0.06912979721205972,1.8777291535845855,42,1.204466524485203,0.4212244681964465,21,1.1715874481306436,2.3760539726158467
