sym,n_days,n_sec,contemp_incr_book,contemp_joint_r2,cancel_share,pred_incr_book_h1,pred_joint_h1,t_book_h1,pred_incr_book_h5,pred_joint_h5,t_book_h5,pred_incr_book_h10,pred_joint_h10,t_book_h10,pred_incr_book_h30,pred_joint_h30,t_book_h30
AAVEUSDT,7,604800,0.11353899768809184,0.2172703345729753,0.8010334083930541,0.00020753140595097808,0.00042274000941711076,6.225133697767199,0.00014136363871386504,0.00042874476720045074,2.7787417413718276,0.00025698539098228945,0.0007102738182553914,2.7918640557982384,0.00021027563908015967,0.0003935290739571773,2.7413821543195436
FLOKIUSDT,7,604800,0.10121082073583532,0.26145548210965597,0.6808484728492705,0.0005314082109151297,0.0006552018337676602,11.719139235137611,0.00022667140020082854,0.00031709828230597203,4.0642125458193386,7.18295940852487e-05,0.0001838398282342224,1.6603148805043855,4.431534514126589e-06,0.00011807403827868157,0.44196304908063927
WAXPUSDT,7,604800,0.032316898654369375,0.10689447486307002,0.9491029614605658,0.0003264418118661405,0.0007486263338926102,5.218760260877207,0.0003434787529812411,0.0005608479131737898,3.7208699902741795,0.0002006395255601534,0.00028883797304080083,2.902062729322223,1.4680212279793992e-05,2.7486061706216702e-05,0.9831687347902959
UNIUSDT,7,604800,0.17260991827539618,0.26929107606492053,0.852374720053551,0.0004498274214724818,0.0004975535989611979,6.695099083147994,0.0005194645993527036,0.0006323794091822599,3.9703974626733682,0.00040858897788365045,0.0005740607562012556,2.8932776685873534,0.0001377197272401931,0.0001745452986183782,1.4748138598587035
ROSEUSDT,7,604800,0.14555706425143122,0.21649096679284674,0.8185997779634911,0.0006653172323880518,0.0008429976026236297,8.467221885704257,0.0004545239173536775,0.0005676560740693892,3.8835211953490254,0.00018032999764894253,0.00020704987416808596,2.0009401026038165,1.0230273106759391e-05,3.0721820333479144e-05,0.34942655767517394
GRTUSDT,7,604800,0.2090445589941674,0.2915013152828465,0.9071526349544554,0.0015584954768658177,0.0016202081021801096,27.182790407002575,0.0016967100207120334,0.0017244647766124777,15.000218322422642,0.0011845571289816892,0.0012284958217532171,9.24580324057282,0.0002468774038107968,0.00041265172877602563,3.3927274978361806
YFIUSDT,7,604800,0.19968212023518483,0.28343557253288765,0.9016280951146554,0.0005914592930565954,0.0007580604957260206,7.649183182148608,0.0005389675248292924,0.0006114145251876479,4.416826827154903,0.00032405720554595785,0.00042613715959283205,2.785254016971017,0.00018143523000979656,0.0007365305573994174,1.749894982476348
OPUSDT,7,604800,0.44993362460143405,0.5077273243200684,0.9257554129159666,0.0013886500921305167,0.0016599077386308947,19.348901059516997,0.001247149397570091,0.0015980804570480123,10.166454749566881,0.0006957330414565366,0.0011290172722246972,6.01302374942574,5.257464997776573e-05,8.697762761933348e-05,1.2754609462854942
EGLDUSDT,7,604800,0.25420988767421093,0.34138562795741945,0.9031402111389282,0.0007409305883590012,0.0009002241664960442,13.158571932196487,0.0007147656176977879,0.0007992542609565056,7.06941609849583,0.0004921871702535663,0.0006675055281535336,4.624577382653071,0.0001903255853704655,0.00023338858966237552,2.6858915477175724
THETAUSDT,7,604800,0.2167449043877604,0.28179315725658605,0.9322252837507368,0.0015492855540522044,0.0015869852432738307,23.610437975589154,0.001662542186185445,0.0016724306920223864,13.770380176571127,0.0008761908734733481,0.0008889773066605988,7.746852853565711,0.00010012358891908768,0.00013228624654537668,2.0408157053584497
ZILUSDT,7,604800,0.25720376609066387,0.36066405808209956,0.9119130723228535,0.0007614907082451605,0.0008351174201940426,12.866997499110811,0.0006259621959524564,0.0006261225104626789,6.578517501159298,0.0004292256787838955,0.00043840530968664027,4.55023220985204,0.00010044720174662292,0.00023969214297359098,1.9431547515120398
ACHUSDT,7,604800,0.2588759433444897,0.4093533082839358,0.926623044059388,0.0012502428889724637,0.0014757775358767988,14.711792368295798,0.0012232170529717923,0.0013207305300657612,7.590773065764589,0.0007251470655967873,0.0008021447825456995,4.362524069240655,0.00015037152648400554,0.00016658287678028572,2.026350886240419
ZRXUSDT,7,604800,0.20209355249629357,0.33119748397173276,0.9253647066062611,0.0011723452858084515,0.0015260632857170275,12.7043138526565,0.0007376320982320772,0.0008993983194619526,7.000724722493378,0.0004814909707606674,0.0007315009822412843,4.593279357862876,7.845519347393637e-05,0.0003323038581681814,1.556243496057606
LDOUSDT,7,604800,0.2289799633890245,0.31086310712296583,0.9138212997499192,0.0016413006361909455,0.0016934041799027133,23.4880596751973,0.0020354239462153645,0.0021313265077304022,14.368110302089196,0.0017459490643525477,0.001889584926813348,10.390585800883011,0.0007838576808872899,0.0010007498213416843,4.956545845738492
MANAUSDT,7,604800,0.32401889195895395,0.3866516659340391,0.9387440912891415,0.0006206665190805483,0.0009981702783610213,13.743261677737237,0.0005648330733899476,0.0010622209110178193,6.571562143039513,0.00028768406588364215,0.0005242136647081175,3.599922394758245,2.4042777009292138e-05,0.00010554669115769855,0.8332944714739283
STORJUSDT,7,604800,0.22578684526513915,0.31341994515859506,0.9130094785420936,0.0007864135371706826,0.0010817271756644598,10.974317080957128,0.0008881049850241185,0.000990422441766059,7.5446575944088385,0.0008148423616985978,0.0008338815968669255,5.6070943549501,0.00030343738217697425,0.000317886834860559,2.8176943517334267
RVNUSDT,7,604800,0.21382576591059588,0.27845362473823343,0.9314985680331302,0.0004514206297028256,0.0005805235808014064,6.392128793338966,0.0005929957446551004,0.000596637653371701,4.591612016621907,0.0006709954409485075,0.000685375765476226,4.141843724809368,0.00036231758287474936,0.00036541945142509746,3.1631664791545746
FILUSDT,7,604800,0.32207148385033124,0.39931536410027224,0.9118700026429986,0.0004924830267659663,0.0006682848799869356,12.956886652866608,0.0001902539411819948,0.0003992588894022875,4.385836864327963,3.019262477699236e-05,0.00022954478615966334,1.4066170900780568,4.584551753661348e-05,0.00020799000779225807,-1.4060418536966428
IOTAUSDT,7,604800,0.2550254526413528,0.33502285905608475,0.9344581512198507,0.0006274462690437632,0.00077698164239004,10.724589606229033,0.0008700568293806832,0.0011054215090444686,7.405294656739207,0.0006185965120791836,0.0011750558396168564,4.5773861738348165,6.727313983911909e-05,0.00013851255796126782,1.3181559935189942
POLYXUSDT,7,604800,0.3125506334992082,0.43134134290225923,0.8925148644456739,0.0011677089152910547,0.0012941945969238144,16.300443491665384,0.0008242640616061836,0.0008462167301932499,7.619572334589125,0.0003945262350782963,0.00041261335765507834,4.078469961017056,0.00017113139815283507,0.00017188252947986093,2.1182521863980552
APEUSDT,7,604800,0.1705104529713406,0.24878523303566946,0.9510898305539793,0.000697441089426265,0.0006990024893168689,14.3790753493986,0.0006467152331104398,0.0006702491984603709,7.8029428379604,0.0003788585493075258,0.00039985013840881933,4.455197725418652,7.590903625676049e-07,8.729132597862233e-07,-0.14686171760021688
NMRUSDT,7,604800,0.2375437487233545,0.30301016248813184,0.9427716477351029,0.0028933992321587,0.002923893210036499,15.849675322638898,0.003181007025549021,0.003208476016381967,10.609671193622704,0.002522594200141337,0.002594218352111488,6.862897738028283,0.0008816558449019629,0.0009933122178973353,4.1482695133262695
SANDUSDT,7,604800,0.4058717908683359,0.45867634135706536,0.9294164708672847,0.000388577361292719,0.00040429517570794715,11.824449816584886,0.0002927453483272391,0.0003104007805875275,5.561215731165756,0.00014924778018721163,0.00023631828980119618,3.0415527479420117,1.9226347891532214e-07,5.029044499715862e-05,-0.08807843526225552
NEOUSDT,7,604800,0.23829643558213676,0.3057679675498022,0.9641861063371509,0.0023113747503471505,0.0023360163468405526,26.057467626732873,0.002532571811851958,0.0025369891169881864,14.672504801687984,0.00158581251494605,0.0015912016877160928,8.96416380109486,0.0004444722182219696,0.00046792159906039466,3.652241139999442
SUSHIUSDT,7,604800,0.09869973143999067,0.1571733798463948,0.9667550085832565,0.001263114329492887,0.0012948081332642136,21.27694982794947,0.0015682285486877667,0.0016350306223349431,13.133020125866512,0.0009996894143000645,0.0010906942339119485,7.8596162692074945,0.00038206356171788247,0.0003825060540053604,3.69883631672716
IMXUSDT,7,604800,0.24927300875404235,0.3067937758379423,0.9450413616673242,0.0026881777273487506,0.002928218831493412,25.588188437366984,0.002727458952817674,0.0029155902327558936,15.084544122407399,0.001856989128524389,0.002108060541792467,9.617885388012262,0.00035916854849882274,0.0006264378749019084,3.397093100076669
